DT_REFE,QT_CORRIDAS,QT_CORR_NEG,QT_CORR_PESS,VL_MAX_DIST,VL_MIN_DIST,VL_AVG_DIST,QT_CORR_REUNI,QT_CORR_NAO_REUNI
2016-09-28,1,1,0,205.0,205.0,205.0,0,0
2016-09-29,1,1,0,126.0,126.0,126.0,0,0
2016-09-30,2,2,0,377.0,167.0,272.0,0,0
2016-10-03,4,4,0,127.0,16.0,69.0,0,0
2016-10-04,2,2,0,286.0,151.0,218.5,0,0
2016-10-06,4,4,0,1126.0,138.0,406.8,0,0
2016-10-07,7,7,0,332.0,24.0,87.9,0,0
2016-10-08,2,2,0,36.0,8.0,22.0,0,0
2016-10-09,1,1,0,77.0,77.0,77.0,0,1
2016-10-10,2,2,0,95.0,17.0,56.0,0,0
2016-10-11,1,1,0,171.0,171.0,171.0,1,0
2016-10-12,1,1,0,184.0,184.0,184.0,0,0
2016-10-13,5,5,0,109.0,1.0,47.6,0,0
2016-10-14,4,4,0,127.0,17.0,76.5,1,0
2016-10-15,1,1,0,62.0,62.0,62.0,0,0
2016-10-16,7,7,0,105.0,21.0,48.1,2,1
2016-10-17,5,5,0,206.0,33.0,104.8,0,0
2016-10-18,6,6,0,79.0,3.0,27.3,0,1
2016-10-19,7,7,0,108.0,17.0,52.4,0,0
2016-10-20,3,3,0,477.0,31.0,318.0,0,0
2016-10-21,1,1,0,132.0,132.0,132.0,0,0
2016-10-22,3,3,0,172.0,14.0,91.0,0,0
2016-10-23,4,4,0,282.0,31.0,156.2,0,2
2016-10-24,3,3,0,164.0,22.0,113.3,0,0
2016-10-25,6,6,0,112.0,22.0,57.0,0,2
2016-10-26,2,2,0,21.0,21.0,21.0,1,0
2016-10-27,5,5,0,121.0,39.0,73.0,1,0
2016-10-28,5,5,0,1336.0,99.0,512.8,5,0
2016-10-29,2,2,0,757.0,407.0,582.0,1,0
2016-10-30,9,9,0,1959.0,63.0,433.6,0,0
2016-10-31,4,4,0,131.0,32.0,90.5,0,1
2016-11-01,6,6,0,165.0,1.0,64.8,0,1
2016-11-02,5,5,0,85.0,5.0,32.0,1,0
2016-11-03,6,6,0,31.0,14.0,23.8,0,2
2016-11-04,4,4,0,79.0,38.0,49.8,0,1
2016-11-05,3,3,0,28.0,22.0,24.0,0,0
2016-11-06,5,5,0,439.0,18.0,108.4,1,1
2016-11-07,2,2,0,132.0,118.0,125.0,0,2
2016-11-08,4,4,0,122.0,3.0,68.5,1,1
2016-11-09,8,8,0,127.0,7.0,51.4,1,1
2016-11-10,6,6,0,126.0,6.0,43.7,1,2
2016-11-11,6,6,0,459.0,4.0,151.5,0,2
2016-11-12,8,8,0,64.0,6.0,28.0,1,1
2016-11-13,14,14,0,446.0,4.0,79.8,1,3
2016-11-15,3,3,0,118.0,51.0,88.7,0,2
2016-11-16,2,2,0,31.0,23.0,27.0,0,2
2016-11-17,1,1,0,163.0,163.0,163.0,0,1
2016-11-18,3,3,0,61.0,31.0,48.0,1,2
2016-11-19,6,6,0,105.0,15.0,58.2,2,2
2016-11-20,4,4,0,392.0,27.0,167.0,1,3
2016-11-21,5,5,0,67.0,21.0,36.4,0,5
2016-11-22,5,5,0,127.0,3.0,52.2,2,3
2016-11-23,4,4,0,59.0,13.0,31.0,0,1
2016-11-25,2,2,0,111.0,103.0,107.0,2,0
2016-11-26,5,5,0,133.0,9.0,46.4,2,2
2016-11-27,2,2,0,33.0,29.0,31.0,0,1
2016-11-30,3,3,0,85.0,31.0,61.0,0,2
2016-12-01,4,4,0,55.0,29.0,42.0,1,3
2016-12-02,4,4,0,53.0,3.0,35.0,0,4
2016-12-03,3,3,0,66.0,3.0,29.0,0,2
2016-12-04,2,2,0,34.0,29.0,31.5,0,2
2016-12-05,2,2,0,41.0,38.0,39.5,0,1
2016-12-07,4,4,0,69.0,4.0,36.5,2,2
2016-12-08,4,4,0,34.0,2.0,18.0,1,3
2016-12-09,4,4,0,189.0,51.0,96.0,1,3
2016-12-10,4,4,0,156.0,3.0,86.5,1,3
2016-12-11,3,3,0,48.0,3.0,24.0,0,3
2016-12-12,5,5,0,47.0,3.0,25.6,0,5
2016-12-13,2,2,0,42.0,41.0,41.5,0,2
2016-12-14,4,4,0,34.0,3.0,25.2,0,2
2016-12-15,1,1,0,106.0,106.0,106.0,1,0
